代码,名称,上市板块,最新价(元),涨跌幅(%),量比,换手率(%),总市值,涨停次数(近20日),ST股票,退市股,戴帽预期(新规),首次入选日期,首次入选时间,最近入选时间,入选次数,入选扫描时间点,次日_跟踪状态,次日_跟踪日期,次日_开盘涨跌幅,次日_午间涨跌幅,次日_收盘涨跌幅,次日_最高涨跌幅,次日_最低涨跌幅,次日_形态
002438,江苏神通,深交所主板,15.10,4.14,2.42,7.06,76.54亿,1,否,否,-,2026-08-04,18:53,2026-08-05 14:36,11,2026-08-04 18:53;2026-08-04 19:08;2026-08-04 19:18;2026-08-04 19:23;2026-08-04 19:33;2026-08-04 19:39;2026-08-05 14:24;2026-08-05 14:27;2026-08-05 14:30;2026-08-05 14:33;2026-08-05 14:36,已跟踪,2026-08-05,-2.0,-1.1,-1.03,0.28,-4.14,低开高走
002167,东方锆业,深交所主板,16.17,5.00,3.79,8.57,125.34亿,1,否,否,-,2026-08-05,10:18,2026-08-05 10:20,2,2026-08-05 10:18;2026-08-05 10:20,,,,,,,,
600666,奥瑞德,上交所主板,3.92,3.70,4.84,9.98,107.85亿,1,否,否,-,2026-08-05,10:18,2026-08-05 11:15,13,2026-08-05 10:18;2026-08-05 10:20;2026-08-05 10:46;2026-08-05 10:48;2026-08-05 10:51;2026-08-05 10:58;2026-08-05 10:59;2026-08-05 11:00;2026-08-05 11:03;2026-08-05 11:06;2026-08-05 11:09;2026-08-05 11:12;2026-08-05 11:15,,,,,,,,
002607,中公教育,深交所主板,2.21,3.27,2.26,9.47,136.30亿,1,否,否,-,2026-08-05,10:48,2026-08-05 14:00,25,2026-08-05 10:48;2026-08-05 10:51;2026-08-05 10:58;2026-08-05 10:59;2026-08-05 11:00;2026-08-05 11:03;2026-08-05 11:06;2026-08-05 11:09;2026-08-05 11:12;2026-08-05 11:15;2026-08-05 11:18;2026-08-05 11:21;2026-08-05 11:24;2026-08-05 11:27;2026-08-05 13:00;2026-08-05 13:03;2026-08-05 13:06;2026-08-05 13:09;2026-08-05 13:12;2026-08-05 13:18;2026-08-05 13:24;2026-08-05 13:27;2026-08-05 13:33;2026-08-05 13:54;2026-08-05 14:00,,,,,,,,
603466,风语筑,上交所主板,11.47,3.05,1.81,9.54,68.17亿,3,否,否,-,2026-08-05,11:12,2026-08-05 13:00,5,2026-08-05 11:12;2026-08-05 11:15;2026-08-05 11:24;2026-08-05 11:27;2026-08-05 13:00,,,,,,,,
603373,安邦护卫,上交所主板,37.82,3.53,2.33,7.05,56.93亿,1,否,否,-,2026-08-05,11:15,2026-08-05 14:36,34,2026-08-05 11:15;2026-08-05 11:18;2026-08-05 11:21;2026-08-05 11:24;2026-08-05 11:27;2026-08-05 13:00;2026-08-05 13:03;2026-08-05 13:06;2026-08-05 13:09;2026-08-05 13:12;2026-08-05 13:18;2026-08-05 13:24;2026-08-05 13:27;2026-08-05 13:30;2026-08-05 13:33;2026-08-05 13:36;2026-08-05 13:45;2026-08-05 13:48;2026-08-05 13:51;2026-08-05 13:54;2026-08-05 13:57;2026-08-05 14:00;2026-08-05 14:03;2026-08-05 14:04;2026-08-05 14:06;2026-08-05 14:12;2026-08-05 14:14;2026-08-05 14:15;2026-08-05 14:21;2026-08-05 14:24;2026-08-05 14:27;2026-08-05 14:30;2026-08-05 14:33;2026-08-05 14:36,,,,,,,,
605179,一鸣食品,上交所主板,22.49,3.69,1.92,8.16,90.22亿,5,否,否,-,2026-08-05,13:09,2026-08-05 14:06,12,2026-08-05 13:09;2026-08-05 13:12;2026-08-05 13:18;2026-08-05 13:45;2026-08-05 13:48;2026-08-05 13:51;2026-08-05 13:54;2026-08-05 13:57;2026-08-05 14:00;2026-08-05 14:03;2026-08-05 14:04;2026-08-05 14:06,,,,,,,,
600797,浙大网新,上交所主板,7.58,3.55,2.29,5.78,77.89亿,1,否,否,-,2026-08-05,13:30,2026-08-05 13:33,2,2026-08-05 13:30;2026-08-05 13:33,,,,,,,,
000048,京基智农,深交所主板,20.68,4.34,1.91,5.90,109.59亿,4,否,否,-,2026-08-05,14:08,2026-08-05 14:27,6,2026-08-05 14:08;2026-08-05 14:12;2026-08-05 14:15;2026-08-05 14:21;2026-08-05 14:24;2026-08-05 14:27,,,,,,,,
002745,木林森,深交所主板,10.60,4.43,1.54,7.35,157.32亿,2,否,否,-,2026-08-05,14:08,2026-08-05 14:24,5,2026-08-05 14:08;2026-08-05 14:14;2026-08-05 14:15;2026-08-05 14:21;2026-08-05 14:24,,,,,,,,
603890,春秋电子,上交所主板,18.20,4.66,1.51,5.79,81.37亿,1,否,否,-,2026-08-05,14:08,2026-08-05 14:36,10,2026-08-05 14:08;2026-08-05 14:12;2026-08-05 14:14;2026-08-05 14:15;2026-08-05 14:21;2026-08-05 14:24;2026-08-05 14:27;2026-08-05 14:30;2026-08-05 14:33;2026-08-05 14:36,,,,,,,,
603757,大元泵业,上交所主板,58.45,4.90,1.52,6.41,109.02亿,2,否,否,-,2026-08-05,14:14,2026-08-05 14:15,2,2026-08-05 14:14;2026-08-05 14:15,,,,,,,,
